"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","gene_id_from_gtf","gene_name_from_gtf","oId","cmp_ref","class_code","gene_name_original","is_novel_pacbio"
"isoComp_00000284","geneComp_00000067","TCONS_00000470","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.708506560204796,0.146798120021935,1.27021500038766,0.0203223637281252,0.298371852596697,3.02940595095055,,0.24665,0.0851,0.4082,0.3231,0.00253052369906565,0.00253052369906565,FALSE,0,"XLOC_000108","DFFB","ENST00000625756.2","ENST00000625756.2","=","XLOC_000108",FALSE
"isoComp_00000285","geneComp_00000067","TCONS_00000471","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.14565555878889,0.29131111757778,0,0.00814153618574141,0,-4.91318200040661,,0.0866166666666667,0.173233333333333,0,-0.173233333333333,0.448975458158052,0.00253052369906565,FALSE,1,"XLOC_000108","DFFB","ENST00000338895.7","ENST00000338895.7","=","XLOC_000108",FALSE
"isoComp_00000286","geneComp_00000067","TCONS_00000472","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.137710004469761,0.267161500877536,0.00825850806198599,0.0303745461211969,0.00825850806198599,-3.9240860839673,,0.0839333333333333,0.164,0.00386666666666667,-0.160133333333333,0.318729590574749,0.00253052369906565,TRUE,1,"XLOC_000108","DFFB","ENST00000491998.5","ENST00000491998.5","=","XLOC_000108",FALSE
"isoComp_00000287","geneComp_00000067","TCONS_00000473","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.0433149848846264,0.0649073814414064,0.0217225883278464,0.0148274176420435,0.0114905002963857,-1.23959740111286,,0.0235166666666667,0.0408666666666667,0.00616666666666667,-0.0347,0.881664731435266,0.00253052369906565,FALSE,1,"XLOC_000108","DFFB","ENST00000468793.5","ENST00000468793.5","=","XLOC_000108",FALSE
"isoComp_00000288","geneComp_00000067","TCONS_00000474","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.0251862490522569,0.0503724981045137,0,0.000138549994813191,0,-2.59389149849086,,0.0150666666666667,0.0301333333333333,0,-0.0301333333333333,1,0.00253052369906565,FALSE,1,"XLOC_000108","DFFB","ENST00000339350.7","ENST00000339350.7","=","XLOC_000108",FALSE
"isoComp_00000289","geneComp_00000067","TCONS_00000476","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,1.03397688463027,0.522265366530285,1.54568840273025,0.0533830648379488,0.182722574504877,1.54733552296683,,0.41225,0.305333333333333,0.519166666666667,0.213833333333333,0.284734983920067,0.00253052369906565,FALSE,1,"XLOC_000108","DFFB","ENST00000378209.8","ENST00000378209.8","=","XLOC_000108",FALSE
"isoComp_00000291","geneComp_00000067","TCONS_00000479","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.0311162248077921,0.0122040076441006,0.0500284419714837,0.0122040076441006,5.65133330655442e-05,1.43482612864987,,0.0117,0.00586666666666667,0.0175333333333333,0.0116666666666667,1,0.00253052369906565,TRUE,0,"XLOC_000108","DFFB","ENST00000481945.1","ENST00000481945.1","=","XLOC_000108",FALSE
"isoComp_00000292","geneComp_00000067","TCONS_00000480","XLOC_000108","H_minus","H_plus","DFFB","unknown","unknown",2.37811788031504,1.71536728064487,3.04086847998521,0.197900641624776,0.53243340348077,0.822316485549855,,0.227151501896503,0.347792570744714,0.106510433048292,0.150430225533527,0.0207843073737073,-1.61866428308125,,0.1113,0.187866666666667,0.0347333333333333,-0.153133333333333,0.645856744488392,0.00253052369906565,FALSE,0,"XLOC_000108","DFFB","ENST00000461150.1","ENST00000461150.1","=","XLOC_000108",FALSE
"isoComp_00000552","geneComp_00000101","TCONS_00000793","XLOC_000180","H_minus","H_plus","CENPS-CORT","unknown","unknown",7.00023752617576,7.98423861407671,6.01623643827482,1.51153659003702,0.637358937598212,-0.40770335741465,,0.173541421658771,0.280462449270897,0.0666203940466441,0.0685600294854598,0.057567320580356,-1.92255131489568,,0.0254166666666667,0.0413666666666667,0.00946666666666667,-0.0319,0.887141763408285,0.000179389576570717,FALSE,0,"XLOC_000180","CENPS-CORT","ENST00000470413.6","ENST00000470413.6","=","XLOC_000180",FALSE
"isoComp_00000553","geneComp_00000101","TCONS_00000794","XLOC_000180","H_minus","H_plus","CENPS","unknown","unknown",7.00023752617576,7.98423861407671,6.01623643827482,1.51153659003702,0.637358937598212,-0.40770335741465,,3.66482923365822,3.84083067719759,3.48882779011886,0.815017101064635,0.290391006777803,-0.138298030688369,,0.529516666666667,0.4764,0.582633333333333,0.106233333333333,0.756157532872798,0.000179389576570717,FALSE,0,"XLOC_000180","CENPS","ENST00000309048.8","ENST00000309048.8","=","XLOC_000180",FALSE
