"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","gene_id_from_gtf","gene_name_from_gtf","oId","cmp_ref","class_code","gene_name_original","is_novel_pacbio"
"isoComp_00000029","geneComp_00000009","TCONS_00000030","XLOC_000009","U_minus","U_plus","XLOC_000009","unknown","unknown",4.69716541899918,5.07341127294367,4.32091956505469,0.181265955922903,0.243877766395212,-0.231123578070971,,1.49248615561791,1.42547786730936,1.55949444392646,0.146406614073398,0.10221792784282,0.128768834981447,,0.32305,0.281833333333333,0.364266666666667,0.0824333333333334,0.896373912830297,0.000291520874615372,TRUE,0,"XLOC_000009","XLOC_000009","PB.17482.1",,"u","XLOC_000009",TRUE
"isoComp_00000030","geneComp_00000009","TCONS_00000031","XLOC_000009","U_minus","U_plus","XLOC_000009","unknown","unknown",4.69716541899918,5.07341127294367,4.32091956505469,0.181265955922903,0.243877766395212,-0.231123578070971,,0.494183913195621,0.507581061878859,0.480786764512383,0.148915939100998,0.0530688853914156,-0.0766884874861158,,0.1046,0.0984,0.1108,0.0124,0.991120045133911,0.000291520874615372,FALSE,0,"XLOC_000009","XLOC_000009","PB.17482.2",,"u","XLOC_000009",TRUE
"isoComp_00000032","geneComp_00000009","TCONS_00000033","XLOC_000009","U_minus","U_plus","XLOC_000009","unknown","unknown",4.69716541899918,5.07341127294367,4.32091956505469,0.181265955922903,0.243877766395212,-0.231123578070971,,0.979280737136053,1.65384873184776,0.304712742424351,0.239381655015647,0.26454038981427,-2.40241677908608,,0.19625,0.326833333333333,0.0656666666666667,-0.261166666666667,0.369776335009095,0.000291520874615372,FALSE,0,"XLOC_000009","XLOC_000009","PB.17482.5",,"u","XLOC_000009",TRUE
"isoComp_00000033","geneComp_00000009","TCONS_00000034","XLOC_000009","U_minus","U_plus","XLOC_000009","unknown","unknown",4.69716541899918,5.07341127294367,4.32091956505469,0.181265955922903,0.243877766395212,-0.231123578070971,,1.36903708681308,1.45608512972438,1.28198904390177,0.0676981730530794,0.0589940875425307,-0.182375041464044,,0.292366666666667,0.287033333333333,0.2977,0.0106666666666667,0.995672729419513,0.000291520874615372,TRUE,2,"XLOC_000009","XLOC_000009","PB.17482.6",,"u","XLOC_000009",TRUE
"isoComp_00000034","geneComp_00000009","TCONS_00000035","XLOC_000009","U_minus","U_plus","XLOC_000009","unknown","unknown",4.69716541899918,5.07341127294367,4.32091956505469,0.181265955922903,0.243877766395212,-0.231123578070971,,0.316967371097867,0,0.633934742195735,0,0.273661653777164,6.00884258465432,,0.0739,0,0.1478,0.1478,0.000291520874615372,0.000291520874615372,FALSE,0,"XLOC_000009","XLOC_000009","PB.20458.1",,"u","XLOC_000009",TRUE
"isoComp_00000129","geneComp_00000031","TCONS_00000167","XLOC_000044","U_minus","U_plus","PLEKHN1","unknown","unknown",1.84083616154597,2.32537926444135,1.3562930586506,0.0980596571186823,0.015621869009909,-0.773389898856513,,1.05702517857325,1.20361941962657,0.910430937519938,0.0569983397956693,0.0268427834134658,-0.398934694694758,,0.59455,0.517733333333333,0.671366666666667,0.153633333333333,0.451232289819475,0.0463109063001286,FALSE,1,"XLOC_000044","PLEKHN1","ENST00000379410.8","ENST00000379410.8","=","XLOC_000044",FALSE
"isoComp_00000130","geneComp_00000031","TCONS_00000168","XLOC_000044","U_minus","U_plus","PLEKHN1","unknown","unknown",1.84083616154597,2.32537926444135,1.3562930586506,0.0980596571186823,0.015621869009909,-0.773389898856513,,0.169311464182942,0.176647781321076,0.161975147044809,0.0570965602929075,0.0260363220877745,-0.118118270256621,,0.0981833333333333,0.0766666666666667,0.1197,0.0430333333333333,0.96582711253457,0.0463109063001286,FALSE,0,"XLOC_000044","PLEKHN1","ENST00000379407.7","ENST00000379407.7","=","XLOC_000044",FALSE
"isoComp_00000131","geneComp_00000031","TCONS_00000169","XLOC_000044","U_minus","U_plus","PLEKHN1","unknown","unknown",1.84083616154597,2.32537926444135,1.3562930586506,0.0980596571186823,0.015621869009909,-0.773389898856513,,0.358564039328912,0.433241104571973,0.283886974085851,0.0573293011561942,0.0555699795870827,-0.59283026187359,,0.1985,0.1881,0.2089,0.0208,1,0.0463109063001286,FALSE,1,"XLOC_000044","PLEKHN1","ENST00000379409.6","ENST00000379409.6","=","XLOC_000044",FALSE
"isoComp_00000132","geneComp_00000031","TCONS_00000170","XLOC_000044","U_minus","U_plus","PLEKHN1","unknown","unknown",1.84083616154597,2.32537926444135,1.3562930586506,0.0980596571186823,0.015621869009909,-0.773389898856513,,0.131083730112267,0.262167460224534,0,0.0667192290795501,0,-4.76642268642102,,0.0553166666666667,0.110633333333333,0,-0.110633333333333,0.0463109063001286,0.0463109063001286,,0,"XLOC_000044","PLEKHN1","ENST00000480267.1","ENST00000480267.1","=","XLOC_000044",FALSE
"isoComp_00000133","geneComp_00000031","TCONS_00000171","XLOC_000044","U_minus","U_plus","PLEKHN1","unknown","unknown",1.84083616154597,2.32537926444135,1.3562930586506,0.0980596571186823,0.015621869009909,-0.773389898856513,,0.124851749348601,0.249703498697202,0,0.139442642706503,0,-4.6987935448648,,0.05345,0.1069,0,-0.1069,0.826304615257557,0.0463109063001286,FALSE,0,"XLOC_000044","PLEKHN1","ENST00000491024.1","ENST00000491024.1","=","XLOC_000044",FALSE
