"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","gene_id_from_gtf","gene_name_from_gtf","oId","cmp_ref","class_code","is_novel_pacbio"
"isoComp_00001078","geneComp_00000194","TCONS_00001391","XLOC_000332","T_minus","T_plus","XLOC_000332","unknown","unknown",1.58922237451628,1.80388152660236,1.3745632224302,0.163374611979669,0.0340970312290118,-0.389649297459739,,0.0388137633714086,0.0405552589650151,0.037072267777802,0.0405552589650151,0.037072267777802,-0.102983816258872,,0.0273333333333333,0.0266666666666667,0.028,0.00133333333333333,0.998161431539877,0.038586546179063,FALSE,0,"XLOC_000332","CDA","ENST00000461985.1","ENST00000461985.1","=",FALSE
"isoComp_00001079","geneComp_00000194","TCONS_00001392","XLOC_000332","T_minus","T_plus","XLOC_000332","unknown","unknown",1.58922237451628,1.80388152660236,1.3745632224302,0.163374611979669,0.0340970312290118,-0.389649297459739,,0.794227376545333,0.861624180488381,0.726830572602285,0.121641656174795,0.1022414371105,-0.242373297044415,,0.50395,0.478266666666667,0.529633333333333,0.0513666666666666,0.946676792468211,0.038586546179063,FALSE,0,"XLOC_000332","CDA","PB.195.1","ENST00000375071.4","=",TRUE
"isoComp_00001080","geneComp_00000194","TCONS_00027031","XLOC_000332","T_minus","T_plus","XLOC_000332","unknown","unknown",1.58922237451628,1.80388152660236,1.3745632224302,0.163374611979669,0.0340970312290118,-0.389649297459739,,0.607954973288814,0.605249564527518,0.610660382050111,0.199246759389389,0.142614284550392,0.0126323273026673,,0.38825,0.334133333333333,0.442366666666667,0.108233333333333,0.88402433818588,0.038586546179063,FALSE,0,"XLOC_000332","CDA","PB.197.1","ENST00000375071.4","j",TRUE
"isoComp_00001081","geneComp_00000194","TCONS_00029778","XLOC_000332","T_minus","T_plus","XLOC_000332","unknown","unknown",1.58922237451628,1.80388152660236,1.3745632224302,0.163374611979669,0.0340970312290118,-0.389649297459739,,0.148226261310724,0.296452522621449,0,0.109105658696629,0,-4.9375916755435,,0.0804666666666667,0.160933333333333,0,-0.160933333333333,0.038586546179063,0.038586546179063,FALSE,0,"XLOC_000332","CDA","PB.197.2","ENST00000375071.4","j",TRUE
"isoComp_00002112","geneComp_00000337","TCONS_00002540","XLOC_000574","T_minus","T_plus","XLOC_000574","unknown","unknown",7.9761584469975,9.10538176047739,6.84693513351762,0.683842325742791,0.116317023577836,-0.410739204510623,,6.09101545977896,7.68428202323435,4.49774889632357,0.296292665402532,0.0882429714749365,-0.771379558015689,,0.753216666666667,0.849033333333333,0.6574,-0.191633333333333,0.0392160238918131,0.0392160238918131,FALSE,1,"XLOC_000574","AGO4","ENST00000373210.4","ENST00000373210.4","=",FALSE
"isoComp_00002113","geneComp_00000337","TCONS_00002541","XLOC_000574","T_minus","T_plus","XLOC_000574","unknown","unknown",7.9761584469975,9.10538176047739,6.84693513351762,0.683842325742791,0.116317023577836,-0.410739204510623,,0.364967579104526,0.318022205822186,0.411912952386866,0.228149489224837,0.109255215120468,0.363151894840777,,0.0473166666666667,0.0342666666666667,0.0603666666666667,0.0261,0.791754442188018,0.0392160238918131,FALSE,0,"XLOC_000574","AGO4","ENST00000488778.1","ENST00000488778.1","=",FALSE
"isoComp_00002114","geneComp_00000337","TCONS_00002542","XLOC_000574","T_minus","T_plus","XLOC_000574","unknown","unknown",7.9761584469975,9.10538176047739,6.84693513351762,0.683842325742791,0.116317023577836,-0.410739204510623,,1.16901517794863,0.816620941886111,1.52140941401115,0.366824667379647,0.222163330849166,0.889562212110399,,0.15375,0.0861666666666667,0.221333333333333,0.135166666666667,0.263814372431103,0.0392160238918131,FALSE,0,"XLOC_000574","AGO4","ENST00000496257.1","ENST00000496257.1","=",FALSE
"isoComp_00002115","geneComp_00000337","TCONS_00029848","XLOC_000574","T_minus","T_plus","XLOC_000574","unknown","unknown",7.9761584469975,9.10538176047739,6.84693513351762,0.683842325742791,0.116317023577836,-0.410739204510623,,0.351160230165394,0.28645658953475,0.415863870796038,0.164771772877405,0.110901613628264,0.522571475702838,,0.0457166666666667,0.0305333333333333,0.0609,0.0303666666666667,0.826155150287102,0.0392160238918131,FALSE,0,"XLOC_000574","AGO4","PB.392.1","ENST00000373210.4","c",TRUE
"isoComp_00003249","geneComp_00000426","TCONS_00003296","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,1.8416779741586,1.98063528530975,1.70272066300746,0.326620591882427,0.438758365690396,-0.216939048001332,,0.0560666666666667,0.0554333333333333,0.0567,0.00126666666666667,1,0.0104236252790435,FALSE,0,"XLOC_000707","DMAP1","ENST00000361745.10","ENST00000361745.10","=",FALSE
"isoComp_00003251","geneComp_00000426","TCONS_00003298","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,0.398394954657124,0.45417945541655,0.342610453897698,0.149950544611703,0.171310456239908,-0.396607423311201,,0.0118,0.0124,0.0112,-0.0012,0.946312450845199,0.0104236252790435,FALSE,0,"XLOC_000707","DMAP1","ENST00000440641.5","ENST00000440641.5","=",FALSE
"isoComp_00003252","geneComp_00000426","TCONS_00003299","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,2.86835047524138,3.31212045689953,2.42458049358323,0.517556402150713,0.244143376508105,-0.448431184328503,,0.0870666666666667,0.0933,0.0808333333333333,-0.0124666666666667,0.930356517491311,0.0104236252790435,FALSE,1,"XLOC_000707","DMAP1","ENST00000372289.7","ENST00000372289.7","=",FALSE
"isoComp_00003254","geneComp_00000426","TCONS_00003301","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,0.57583912063949,0.642390544666314,0.509287696612667,0.094095782372882,0.199582340544189,-0.329201828372927,,0.0174,0.0178333333333333,0.0169666666666667,-0.000866666666666668,0.968736314872131,0.0104236252790435,TRUE,0,"XLOC_000707","DMAP1","ENST00000437511.5","ENST00000437511.5","=",FALSE
"isoComp_00003258","geneComp_00000426","TCONS_00003305","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,10.8200482852472,14.3052745625305,7.33482200796384,1.30342080648197,0.897909994589981,-0.962755906532735,,0.3224,0.3988,0.246,-0.1528,0.0104236252790435,0.0104236252790435,FALSE,0,"XLOC_000707","DMAP1","PB.546.1","ENST00000315913.9","=",TRUE
"isoComp_00003259","geneComp_00000426","TCONS_00003306","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,0.411199527705203,0.315339148974389,0.507059906436017,0.17179304962017,0.0752305130193561,0.668387004148379,,0.01295,0.00903333333333333,0.0168666666666667,0.00783333333333333,0.810548597578339,0.0104236252790435,FALSE,1,"XLOC_000707","DMAP1","ENST00000463950.1","ENST00000463950.1","=",FALSE
"isoComp_00003261","geneComp_00000426","TCONS_00003308","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,2.27137209289419,2.37207051560268,2.1706736701857,0.213654935034691,0.332913059964266,-0.127442229321285,,0.06965,0.0667333333333333,0.0725666666666667,0.00583333333333333,0.970640907799963,0.0104236252790435,FALSE,0,"XLOC_000707","DMAP1","ENST00000488433.5","ENST00000488433.5","=",FALSE
"isoComp_00003262","geneComp_00000426","TCONS_00003309","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,0.433745533000283,0,0.867491066000567,0,0.867491066000567,6.4553125318689,,0.0141833333333333,0,0.0283666666666667,0.0283666666666667,0.910669119862254,0.0104236252790435,TRUE,0,"XLOC_000707","DMAP1","ENST00000483741.1","ENST00000483741.1","=",FALSE
"isoComp_00003263","geneComp_00000426","TCONS_00022086","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,0.97791690021427,1.00547310194332,0.950360698485223,0.147491542522115,0.169262633584752,-0.0805037562749874,,0.0299833333333333,0.0282,0.0317666666666667,0.00356666666666667,0.954571790506809,0.0104236252790435,FALSE,2,"XLOC_000707","DMAP1","PB.546.3","ENST00000315913.9","n",TRUE
"isoComp_00003264","geneComp_00000426","TCONS_00027233","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,5.81119671673026,6.98630742874338,4.63608600471713,1.13739391729366,0.774628518590183,-0.590577824501521,,0.174383333333333,0.1936,0.155166666666667,-0.0384333333333333,0.79039000722064,0.0104236252790435,FALSE,0,"XLOC_000707","DMAP1","PB.549.1","ENST00000315913.9","c",TRUE
"isoComp_00003265","geneComp_00000426","TCONS_00027234","XLOC_000707","T_minus","T_plus","XLOC_000707","unknown","unknown",32.8044538654365,35.7265948630458,29.8823128678272,1.45805925450064,0.721546149589301,-0.257627647263707,,5.60047575019769,3.46270497373824,7.73824652665713,0.995765520601538,0.883581904648963,1.15781000634516,,0.180033333333333,0.0995666666666667,0.2605,0.160933333333333,0.0807719194277176,0.0104236252790435,,0,"XLOC_000707","DMAP1","PB.549.2","ENST00000315913.9","c",TRUE
